"subjid";"trialno";"choice";"RT";"keypressed";"position_gambleA";"position_outcome1";"rewA1";"rewA2";"probA1";"probA2";"rewB1";"rewB2";"probB1";"probB2";"typeA";"typeB";"domainA1";"domainA2";"domainB1";"domainB2";"rewA1int";"rewA2int";"rewB1int";"rewB2int";"order";"age";"gender";"reward_LA";"general_risk";"general_time";"general_impulsivity";"agegroup";"dsst_n_responses";"dsst_n_accurate";"dsst_pcnt_accurate";"numeracy_n_accurate";"numeracy_pcnt_accurate";"practice_ind";"EV_A";"EV_B";"SD_A";"SD_B";"CV_A";"CV_B";"safeoption";"higherEV";"higherSD";"higherCV";"higherEV_SD";"higher_EV_choice";"higher_SD_choice";"higher_CV_choice"
1;48;"A";6.48936824537;"j";"right";"down";-6;6;50;50;"(0.5 x 1) - (0.5 x 7)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"loss";"gain";-6;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0;-3;6;0;Inf;0;1;"A";"A";"A";1;1;1;1
1;52;"B";8.88124540087;"f";"right";"down";-8;6;50;50;"(0.5 x 7) - (0.5 x 7)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-8;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1;0;7;0;7;NA;1;"B";"A";NA;0;1;0;NA
1;51;"A";6.49779324736;"j";"right";"up";-5;6;50;50;"(0.5 x 8) - (0.5 x 8)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-5;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0.5;0;5.5;0;11;NA;1;"A";"A";NA;1;1;1;NA
1;17;"B";5.91443091548;"f";"right";"up";-5;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-5;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0.5;3;5.5;0;11;0;1;"B";"A";"A";0;1;0;0
1;49;"A";6.01701485243;"j";"right";"up";-3;6;50;50;"(0.5 x 0) - (0.5 x 6)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"loss";"gain";-3;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;-3;4.5;0;3;0;1;"A";"A";"A";1;1;1;1
1;22;"A";4.37433090928;"j";"right";"down";-4;6;50;50;"-12";6;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-4;6;-12;6;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;-3;5;9;5;3;0;"A";"B";"A";0;1;0;1
1;16;"B";5.4093937567;"f";"right";"up";-4;6;50;50;"3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-4;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;3;5;0;5;0;1;"B";"A";"A";0;1;0;0
1;56;"A";7.7429464262;"f";"left";"down";-3;6;50;50;"(0.5 x 3) - (0.5 x 3)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-3;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1.5;0;4.5;0;3;NA;1;"A";"A";NA;1;1;1;NA
1;9;"A";5.10920558013;"j";"right";"up";-4;6;50;50;"0";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-4;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;0;5;0;5;NA;1;"A";"A";NA;1;1;1;NA
1;50;"A";8.77902219109;"f";"left";"up";-4;6;50;50;"(0.5 x 9) - (0.5 x 9)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-4;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;0;5;0;5;NA;1;"A";"A";NA;1;1;1;NA
1;23;"A";7.57507059392;"f";"left";"down";-5;6;50;50;"-11";5;50;50;"risky mixed";"risky mixed";"loss";"gain";"loss";"gain";-5;6;-11;5;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0.5;-3;5.5;8;11;2.66666666666667;0;"A";"B";"A";0;1;0;1
1;2;"A";4.70604697322;"f";"left";"up";-4;6;50;50;"-3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"loss";"gain";-4;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;-3;5;0;5;0;1;"A";"A";"A";1;1;1;1
1;12;"B";3.33946061591;"f";"right";"down";-7;6;50;50;"0";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-7;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;0;6.5;0;13;NA;1;"B";"A";NA;0;1;0;NA
1;53;"B";4.29316147722;"f";"right";"up";-7;6;50;50;"(0.5 x 6) - (0.5 x 6)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-7;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-0.5;0;6.5;0;13;NA;1;"B";"A";NA;0;1;0;NA
1;57;"B";11.8146308392;"j";"left";"up";-4;6;50;50;"(0.5 x 12) - (0.5 x 6)";0;100;0;"risky mixed";"complex safe";"loss";"gain";"gain";"gain";-4;6;3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;1;3;5;0;5;0;1;"B";"A";"A";0;1;0;0
1;10;"A";2.51221346848;"j";"right";"down";-5;6;50;50;"0";0;100;0;"risky mixed";"simple safe";"loss";"gain";"gain";"gain";-5;6;0;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;0.5;0;5.5;0;11;NA;1;"A";"A";NA;1;1;1;NA
1;7;"B";8.30026436703;"f";"right";"up";-9;6;50;50;"-3";0;100;0;"risky mixed";"simple safe";"loss";"gain";"loss";"gain";-9;6;-3;0;"[03framing.py, 01choiceLA.py, 01choiceDD.py, 03framing_block2.py, 05numeracy.py, 04dsst.py, 02demographics.py]";25;"w";5;3;2;7;"YA";56;56;1;5;0.714285714285714;FALSE;-1.5;-3;7.5;0;5;0;1;"A";"A";"A";1;0;0;0
